time_us,duty_u,duty_v,duty_w,i_a,i_b,i_c,theta_e_rad,omega_e_rad_s,theta_m_rad,rpm_mech,vdc_v,iq_ref_a,id_meas_a,iq_meas_a
1852501,51.9418,51.4945,48.0564,4.47565,1.89243,-6.36809,5.63493,105.65595,0.8050,144.1,48.0000,0.0000,0.0000,0.0000
1853001,51.9036,51.6364,48.0945,4.22820,2.20556,-6.43376,5.68786,105.87720,0.8126,144.4,48.0000,0.0000,0.0000,0.0000
1853501,51.7745,51.8691,48.1291,3.93961,2.54322,-6.48283,5.74079,106.09846,0.8201,144.7,48.0000,0.0000,0.0000,0.0000
1854001,51.6364,51.9127,48.0855,3.64868,2.86721,-6.51589,5.79396,106.31971,0.8277,145.0,48.0000,0.0000,0.0000,0.0000
1854501,51.4945,51.9545,48.0436,3.35770,3.17299,-6.53069,5.84713,106.54096,0.8353,145.3,48.0000,0.0000,0.0000,0.0000
1855001,51.3527,51.9927,48.0055,3.07042,3.46173,-6.53215,5.90050,106.76221,0.8429,145.6,48.0000,0.0000,0.0000,0.0000
1855501,51.0509,52.0564,47.9418,2.73876,3.77007,-6.50883,5.95390,106.98347,0.8506,145.9,48.0000,0.0000,0.0000,0.0000
1856001,50.9000,52.0855,47.9127,2.40677,4.05968,-6.46645,6.00748,107.20472,0.8582,146.2,48.0000,0.0000,0.0000,0.0000
1856501,50.7418,52.1055,47.8927,2.07942,4.32739,-6.40682,6.06112,107.42597,0.8659,146.5,48.0000,0.0000,0.0000,0.0000
1857001,50.5855,52.1255,47.8727,1.75727,4.57476,-6.33203,6.11489,107.64469,0.8736,146.8,48.0000,0.0000,0.0000,0.0000
1857501,50.2655,52.1527,47.8455,1.39339,4.83209,-6.22548,6.16878,107.86213,0.8813,147.1,48.0000,0.0000,0.0000,0.0000
1858001,50.1018,52.1582,47.8400,1.03534,5.06954,-6.10488,6.22274,108.07957,0.8890,147.4,48.0000,0.0000,0.0000,0.0000
1858501,49.9382,52.1618,47.8364,0.68426,5.28485,-5.96912,6.27686,108.29700,0.8967,147.7,48.0000,0.0000,0.0000,0.0000
1859001,52.3982,51.8091,47.6000,3.69069,3.70810,-7.39880,0.04788,108.51165,0.0068,148.0,48.0000,0.0000,0.0000,0.0000
1859501,51.0364,52.1982,47.8000,5.52503,2.85732,-8.38235,0.10218,108.71194,0.0146,148.3,48.0000,0.0000,0.0000,0.0000
1860001,50.3945,52.2055,47.7927,5.89075,2.80140,-8.69215,0.15659,108.89905,0.0224,148.6,48.0000,0.0000,0.0000,0.0000
1860501,49.8709,52.1909,47.8073,5.39701,3.15988,-8.55688,0.21108,109.07755,0.0302,148.8,48.0000,0.0000,0.0000,0.0000
1861001,49.4382,52.1636,47.8345,4.44142,3.69900,-8.14043,0.26566,109.25266,0.0380,149.0,48.0000,0.0000,0.0000,0.0000
1861501,48.7691,52.0836,47.9145,3.18730,4.30988,-7.49718,0.32033,109.42737,0.0458,149.3,48.0000,0.0000,0.0000,0.0000
1862001,48.5055,52.0327,47.9655,1.90854,4.87020,-6.77874,0.37509,109.60394,0.0536,149.5,48.0000,0.0000,0.0000,0.0000
1862501,48.2727,51.9800,48.0182,0.69191,5.34734,-6.03925,0.42994,109.78508,0.0614,149.8,48.0000,0.0000,0.0000,0.0000
1863001,48.0709,51.9273,48.0818,-0.42207,5.73156,-5.30949,0.48488,109.97212,0.0693,150.0,48.0000,0.0000,0.0000,0.0000
1863501,47.9545,52.0436,48.4436,-1.46265,6.01952,-4.55686,0.53991,110.16516,0.0771,150.3,48.0000,0.0000,0.0000,0.0000
1864001,47.9109,52.0873,48.6200,-2.37024,6.21891,-3.84867,0.59504,110.36514,0.0850,150.6,48.0000,0.0000,0.0000,0.0000
1864501,47.8745,52.1236,48.7927,-3.14452,6.33608,-3.19156,0.65028,110.57077,0.0929,150.8,48.0000,0.0000,0.0000,0.0000
1865001,47.8418,52.1564,48.9709,-3.80530,6.38458,-2.57928,0.70561,110.78207,0.1008,151.1,48.0000,0.0000,0.0000,0.0000
1865501,47.7945,52.2036,49.3127,-4.39658,6.36674,-1.97016,0.76106,110.99801,0.1087,151.4,48.0000,0.0000,0.0000,0.0000
1866001,47.7782,52.2200,49.4818,-4.89165,6.29658,-1.40493,0.81661,111.21820,0.1167,151.7,48.0000,0.0000,0.0000,0.0000
1866501,47.7655,52.2327,49.6545,-5.30393,6.18956,-0.88563,0.87228,111.44202,0.1246,152.0,48.0000,0.0000,0.0000,0.0000
1867001,47.7582,52.2400,49.8236,-5.64400,6.05339,-0.40939,0.92805,111.66835,0.1326,152.3,48.0000,0.0000,0.0000,0.0000
1867501,47.7545,52.2436,50.1691,-5.95046,5.86800,0.08246,0.98394,111.89723,0.1406,152.6,48.0000,0.0000,0.0000,0.0000
1868001,47.7600,52.2382,50.3400,-6.20361,5.66171,0.54190,1.03995,112.12799,0.1486,153.0,48.0000,0.0000,0.0000,0.0000
1868501,47.7709,52.2273,50.5109,-6.40536,5.43770,0.96766,1.09607,112.36069,0.1566,153.3,48.0000,0.0000,0.0000,0.0000
1869001,47.7836,52.2145,50.6800,-6.56552,5.20390,1.36162,1.15231,112.59338,0.1646,153.6,48.0000,0.0000,0.0000,0.0000
1869501,47.8236,52.1745,51.0145,-6.70562,4.93328,1.77234,1.20866,112.82608,0.1727,153.9,48.0000,0.0000,0.0000,0.0000
1870001,47.8491,52.1491,51.1818,-6.81015,4.65083,2.15931,1.26514,113.05878,0.1807,154.2,48.0000,0.0000,0.0000,0.0000
